time,decibel
2026-07-28T03:45:23.949,41.1
2026-07-28T03:45:24.352,42.0
2026-07-28T03:45:24.755,41.7
2026-07-28T03:45:25.158,41.3
2026-07-28T03:45:25.561,41.5
2026-07-28T03:45:25.964,41.1
2026-07-28T03:45:26.367,41.6
2026-07-28T03:45:26.770,41.5
2026-07-28T03:45:27.173,41.1
2026-07-28T03:45:27.577,41.6
2026-07-28T03:45:27.980,41.2
2026-07-28T03:45:28.383,41.5
2026-07-28T03:45:28.786,41.4
2026-07-28T03:45:29.189,41.1
2026-07-28T03:45:29.592,41.3
2026-07-28T03:45:29.995,40.3
2026-07-28T03:45:30.398,41.2
2026-07-28T03:45:30.801,41.1
2026-07-28T03:45:31.204,40.8
2026-07-28T03:45:31.607,41.1
2026-07-28T03:45:32.010,40.2
2026-07-28T03:45:32.413,41.1
2026-07-28T03:45:32.816,41.1
2026-07-28T03:45:33.219,40.6
2026-07-28T03:45:33.622,41.2
2026-07-28T03:45:34.025,40.7
2026-07-28T03:45:34.428,41.1
2026-07-28T03:45:34.831,41.1
2026-07-28T03:45:35.234,40.2
2026-07-28T03:45:35.638,41.1
2026-07-28T03:45:36.041,40.8
2026-07-28T03:45:36.444,40.9
2026-07-28T03:45:36.847,41.1
2026-07-28T03:45:37.250,40.2
2026-07-28T03:45:37.653,41.0
2026-07-28T03:45:38.056,40.9
2026-07-28T03:45:38.459,40.9
2026-07-28T03:45:38.862,41.2
2026-07-28T03:45:39.265,40.7
2026-07-28T03:45:39.668,41.1
2026-07-28T03:45:40.071,40.8
2026-07-28T03:45:40.474,40.6
2026-07-28T03:45:40.877,41.2
2026-07-28T03:45:41.280,40.4
2026-07-28T03:45:41.683,41.2
2026-07-28T03:45:42.086,40.9
2026-07-28T03:45:42.489,40.7
2026-07-28T03:45:42.892,41.1
2026-07-28T03:45:43.295,40.3
2026-07-28T03:45:43.698,41.1
2026-07-28T03:45:44.101,41.1
2026-07-28T03:45:44.504,40.5
2026-07-28T03:45:44.907,41.1
2026-07-28T03:45:45.310,40.8
2026-07-28T03:45:45.713,40.9
2026-07-28T03:45:46.116,41.1
2026-07-28T03:45:46.519,40.4
2026-07-28T03:45:46.922,41.1
2026-07-28T03:45:47.326,40.6
2026-07-28T03:45:47.729,41.0
2026-07-28T03:45:48.133,41.1
2026-07-28T03:45:48.535,40.6
2026-07-28T03:45:48.938,41.1
2026-07-28T03:45:49.341,40.9
2026-07-28T03:45:49.744,41.0
2026-07-28T03:45:50.147,41.1
2026-07-28T03:45:50.550,40.3
2026-07-28T03:45:50.953,41.0
2026-07-28T03:45:51.356,40.7
2026-07-28T03:45:51.759,41.1
2026-07-28T03:45:52.162,41.2
2026-07-28T03:45:52.565,40.4
2026-07-28T03:45:52.968,41.2
2026-07-28T03:45:53.371,40.7
2026-07-28T03:45:53.774,40.9
2026-07-28T03:45:54.177,41.2
2026-07-28T03:45:54.580,40.2
2026-07-28T03:45:54.983,41.1
2026-07-28T03:45:55.387,40.9
2026-07-28T03:45:55.790,40.8
2026-07-28T03:45:56.193,41.1
2026-07-28T03:45:56.596,40.3
2026-07-28T03:45:56.999,41.1
2026-07-28T03:45:57.402,40.7
2026-07-28T03:45:57.805,40.6
2026-07-28T03:45:58.208,41.1
2026-07-28T03:45:58.611,40.5
2026-07-28T03:45:59.014,41.1
2026-07-28T03:45:59.417,41.0
2026-07-28T03:45:59.821,40.6
2026-07-28T03:46:00.223,41.2
2026-07-28T03:46:00.626,40.7
2026-07-28T03:46:01.029,41.2
2026-07-28T03:46:01.432,41.0
2026-07-28T03:46:01.835,40.5
2026-07-28T03:46:02.238,41.3
2026-07-28T03:46:02.641,40.9
2026-07-28T03:46:03.044,41.1
2026-07-28T03:46:03.447,41.3
2026-07-28T03:46:03.851,40.8
2026-07-28T03:46:04.254,41.3
2026-07-28T03:46:04.657,40.8
2026-07-28T03:46:05.060,41.1
2026-07-28T03:46:05.463,41.3
2026-07-28T03:46:05.866,40.9
2026-07-28T03:46:06.269,41.3
2026-07-28T03:46:06.672,40.9
2026-07-28T03:46:07.075,41.1
2026-07-28T03:46:07.478,41.4
2026-07-28T03:46:07.881,41.0
2026-07-28T03:46:08.284,41.1
2026-07-28T03:46:08.687,40.8
2026-07-28T03:46:09.090,40.6
2026-07-28T03:46:09.493,41.1
2026-07-28T03:46:09.896,40.3
2026-07-28T03:46:10.299,41.1
2026-07-28T03:46:10.702,41.2
2026-07-28T03:46:11.105,40.7
2026-07-28T03:46:11.508,41.3
2026-07-28T03:46:11.911,40.8
2026-07-28T03:46:12.314,41.1
2026-07-28T03:46:12.718,41.0
2026-07-28T03:46:13.122,40.8
2026-07-28T03:46:13.524,41.2
2026-07-28T03:46:13.927,40.8
2026-07-28T03:46:14.330,41.2
2026-07-28T03:46:14.733,41.0
2026-07-28T03:46:15.136,40.6
2026-07-28T03:46:15.539,41.3
2026-07-28T03:46:15.942,40.9
2026-07-28T03:46:16.345,41.2
2026-07-28T03:46:16.748,41.2
2026-07-28T03:46:17.151,40.6
2026-07-28T03:46:17.554,41.2
2026-07-28T03:46:17.957,41.0
2026-07-28T03:46:18.360,41.1
2026-07-28T03:46:18.763,41.2
2026-07-28T03:46:19.166,40.7
2026-07-28T03:46:19.569,41.1
2026-07-28T03:46:19.972,40.7
2026-07-28T03:46:20.375,41.1
2026-07-28T03:46:20.779,41.2
2026-07-28T03:46:21.181,40.5
2026-07-28T03:46:21.584,41.2
2026-07-28T03:46:21.987,40.7
2026-07-28T03:46:22.390,40.7
2026-07-28T03:46:22.794,41.3
2026-07-28T03:46:23.197,40.6
2026-07-28T03:46:23.600,41.3
2026-07-28T03:46:24.003,41.0
2026-07-28T03:46:24.406,40.7
2026-07-28T03:46:24.809,41.3
2026-07-28T03:46:25.212,40.6
2026-07-28T03:46:25.615,41.2
2026-07-28T03:46:26.018,40.8
2026-07-28T03:46:26.421,40.6
2026-07-28T03:46:26.824,41.2
2026-07-28T03:46:27.227,40.8
2026-07-28T03:46:27.630,41.1
2026-07-28T03:46:28.033,40.9
2026-07-28T03:46:28.436,40.6
2026-07-28T03:46:28.839,41.2
2026-07-28T03:46:29.242,40.8
2026-07-28T03:46:29.645,41.1
2026-07-28T03:46:30.048,41.2
2026-07-28T03:46:30.451,41.0
2026-07-28T03:46:30.854,41.1
2026-07-28T03:46:31.257,40.9
2026-07-28T03:46:31.660,41.3
2026-07-28T03:46:32.063,41.1
2026-07-28T03:46:32.466,40.7
2026-07-28T03:46:32.870,41.1
2026-07-28T03:46:33.273,40.9
2026-07-28T03:46:33.676,41.2
2026-07-28T03:46:34.079,41.2
2026-07-28T03:46:34.482,40.8
2026-07-28T03:46:34.885,41.3
2026-07-28T03:46:35.288,41.1
2026-07-28T03:46:35.691,41.2
2026-07-28T03:46:36.094,41.3
2026-07-28T03:46:36.497,40.6
2026-07-28T03:46:36.900,41.3
2026-07-28T03:46:37.303,41.2
2026-07-28T03:46:37.706,40.9
2026-07-28T03:46:38.109,41.3
2026-07-28T03:46:38.512,40.9
2026-07-28T03:46:38.915,41.5
2026-07-28T03:46:39.318,41.4
2026-07-28T03:46:39.721,41.3
2026-07-28T03:46:40.124,41.5
2026-07-28T03:46:40.527,41.0
2026-07-28T03:46:40.930,41.4
2026-07-28T03:46:41.333,41.1
2026-07-28T03:46:41.736,41.2
2026-07-28T03:46:42.139,41.8
2026-07-28T03:46:42.542,41.4
2026-07-28T03:46:42.945,41.5
2026-07-28T03:46:43.348,41.1
2026-07-28T03:46:43.751,41.0
2026-07-28T03:46:44.154,41.5
2026-07-28T03:46:44.557,41.3
2026-07-28T03:46:44.960,41.4
2026-07-28T03:46:45.363,41.4
2026-07-28T03:46:45.766,41.1
2026-07-28T03:46:46.169,41.5
2026-07-28T03:46:46.572,41.1
2026-07-28T03:46:46.975,41.5
2026-07-28T03:46:47.378,41.7
2026-07-28T03:46:47.781,41.1
2026-07-28T03:46:48.184,41.6
2026-07-28T03:46:48.587,41.2
2026-07-28T03:46:48.990,41.4
2026-07-28T03:46:49.393,41.5
2026-07-28T03:46:49.796,41.1
2026-07-28T03:46:50.199,41.4
2026-07-28T03:46:50.602,41.2
2026-07-28T03:46:51.005,41.2
2026-07-28T03:46:51.408,41.6
2026-07-28T03:46:51.811,41.0
2026-07-28T03:46:52.214,41.5
2026-07-28T03:46:52.617,41.4
2026-07-28T03:46:53.020,41.3
2026-07-28T03:46:53.423,41.5
2026-07-28T03:46:53.826,40.9
2026-07-28T03:46:54.229,41.4
2026-07-28T03:46:54.632,41.5
2026-07-28T03:46:55.035,41.2
2026-07-28T03:46:55.439,41.6
2026-07-28T03:46:55.841,41.1
2026-07-28T03:46:56.245,41.7
2026-07-28T03:46:56.648,41.6
2026-07-28T03:46:57.050,41.2
2026-07-28T03:46:57.454,41.6
2026-07-28T03:46:57.857,41.0
2026-07-28T03:46:58.260,41.5
2026-07-28T03:46:58.663,41.6
2026-07-28T03:46:59.065,41.5
2026-07-28T03:46:59.469,41.7
2026-07-28T03:46:59.872,41.3
2026-07-28T03:47:00.275,41.6
2026-07-28T03:47:00.678,41.8
2026-07-28T03:47:01.081,41.5
2026-07-28T03:47:01.484,41.9
2026-07-28T03:47:01.887,41.3
2026-07-28T03:47:02.290,41.6
2026-07-28T03:47:02.693,41.7
2026-07-28T03:47:03.096,41.2
2026-07-28T03:47:03.499,41.7
2026-07-28T03:47:03.902,41.4
2026-07-28T03:47:04.305,41.6
2026-07-28T03:47:04.708,42.1
2026-07-28T03:47:05.111,41.5
2026-07-28T03:47:05.514,41.6
2026-07-28T03:47:05.917,41.2
2026-07-28T03:47:06.320,41.6
2026-07-28T03:47:06.723,41.8
2026-07-28T03:47:07.126,41.6
2026-07-28T03:47:07.529,41.6
2026-07-28T03:47:07.932,41.4
2026-07-28T03:47:08.335,41.3
2026-07-28T03:47:08.738,41.7
2026-07-28T03:47:09.141,41.3
2026-07-28T03:47:09.544,41.3
2026-07-28T03:47:09.947,40.9
2026-07-28T03:47:10.350,40.9
2026-07-28T03:47:10.753,41.3
2026-07-28T03:47:11.156,40.3
2026-07-28T03:47:11.559,41.3
2026-07-28T03:47:11.962,41.2
2026-07-28T03:47:12.365,41.0
2026-07-28T03:47:12.768,41.2
2026-07-28T03:47:13.171,41.0
2026-07-28T03:47:13.574,41.2
2026-07-28T03:47:13.977,41.1
2026-07-28T03:47:14.380,40.8
2026-07-28T03:47:14.783,41.0
2026-07-28T03:47:15.186,40.5
2026-07-28T03:47:15.589,41.1
2026-07-28T03:47:15.992,41.2
2026-07-28T03:47:16.395,40.6
2026-07-28T03:47:16.798,41.1
2026-07-28T03:47:17.201,40.7
2026-07-28T03:47:17.604,41.0
2026-07-28T03:47:18.007,41.2
2026-07-28T03:47:18.410,40.3
2026-07-28T03:47:18.813,41.1
2026-07-28T03:47:19.216,40.8
2026-07-28T03:47:19.619,40.8
2026-07-28T03:47:20.022,41.1
2026-07-28T03:47:20.425,40.4
2026-07-28T03:47:20.828,41.0
2026-07-28T03:47:21.231,40.6
2026-07-28T03:47:21.634,40.8
2026-07-28T03:47:22.037,41.2
2026-07-28T03:47:22.440,40.3
2026-07-28T03:47:22.843,41.1
2026-07-28T03:47:23.246,40.9
2026-07-28T03:47:23.649,40.7
2026-07-28T03:47:24.052,41.1
2026-07-28T03:47:24.455,40.2
2026-07-28T03:47:24.858,41.2
2026-07-28T03:47:25.261,41.0
2026-07-28T03:47:25.664,40.4
2026-07-28T03:47:26.067,41.2
2026-07-28T03:47:26.470,40.9
2026-07-28T03:47:26.873,41.3
2026-07-28T03:47:27.276,41.4
2026-07-28T03:47:27.679,41.0
2026-07-28T03:47:28.082,41.6
2026-07-28T03:47:28.485,41.2
2026-07-28T03:47:28.888,41.4
2026-07-28T03:47:29.291,41.5
2026-07-28T03:47:29.694,41.1
2026-07-28T03:47:30.097,41.5
2026-07-28T03:47:30.500,41.1
2026-07-28T03:47:30.903,41.1
2026-07-28T03:47:31.306,41.3
2026-07-28T03:47:31.709,40.8
2026-07-28T03:47:32.112,41.8
2026-07-28T03:47:32.515,41.4
2026-07-28T03:47:32.918,41.5
2026-07-28T03:47:33.322,41.6
2026-07-28T03:47:33.725,41.0
2026-07-28T03:47:34.127,41.3
2026-07-28T03:47:34.530,41.0
2026-07-28T03:47:34.933,41.0
